username,repo_name,stars,repo_url
mrdoob,three.js,83900,https://github.com//mrdoob/three.js
libgdx,libgdx,20300,https://github.com//libgdx/libgdx
pmndrs,react-three-fiber,18900,https://github.com//pmndrs/react-three-fiber
BabylonJS,Babylon.js,18000,https://github.com//BabylonJS/Babylon.js
aframevr,aframe,14400,https://github.com//aframevr/aframe
ssloy,tinyrenderer,14200,https://github.com//ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13400,https://github.com//lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11800,https://github.com//FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com//metafizzy/zdog
CesiumGS,cesium,9000,https://github.com//CesiumGS/cesium
