username,repo_name,stars,repo_url
public-apis,public-apis,203000,https://github.com//public-apis/public-apis
neovim,neovim,56200,https://github.com//neovim/neovim
tiangolo,fastapi,47700,https://github.com//tiangolo/fastapi
strapi,strapi,46500,https://github.com//strapi/strapi
hoppscotch,hoppscotch,45300,https://github.com//hoppscotch/hoppscotch
slatedocs,slate,34300,https://github.com//slatedocs/slate
meilisearch,meilisearch,28200,https://github.com//meilisearch/meilisearch
hasura,graphql-engine,27500,https://github.com//hasura/graphql-engine
ccxt,ccxt,25200,https://github.com//ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25000,https://github.com//Binaryify/NeteaseCloudMusicApi
