username,repo_name,stars,repo_url
jwasham,coding-interview-university,227000,https://github.com//jwasham/coding-interview-university
CyC2018,CS-Notes,155000,https://github.com//CyC2018/CS-Notes
trekhleb,javascript-algorithms,147000,https://github.com//trekhleb/javascript-algorithms
TheAlgorithms,Python,141000,https://github.com//TheAlgorithms/Python
yangshun,tech-interview-handbook,75100,https://github.com//yangshun/tech-interview-handbook
kdn251,interviews,57800,https://github.com//kdn251/interviews
azl397985856,leetcode,48800,https://github.com//azl397985856/leetcode
TheAlgorithms,Java,47000,https://github.com//TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,38300,https://github.com//algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,29900,https://github.com//youngyangyang04/leetcode-master
