username,repo_name,stars,repo_url
amphp,amp,3700,https://github.com//amphp/amp
danog,MadelineProto,2000,https://github.com//danog/MadelineProto
amphp,http-server,1200,https://github.com//amphp/http-server
unreal4u,telegram-api,72,https://github.com//unreal4u/telegram-api
amphp,http-client,62,https://github.com//amphp/http-client
amphp,parallel,59,https://github.com//amphp/parallel
php-service-bus,service-bus,32,https://github.com//php-service-bus/service-bus
amphp,byte-stream,29,https://github.com//amphp/byte-stream
amphp,mysql,28,https://github.com//amphp/mysql
amphp,parallel-functions,22,https://github.com//amphp/parallel-functions
