username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com//flutter/flutter
justjavac,free-programming-books-zh_CN,94600,https://github.com//justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,68200,https://github.com//Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,53800,https://github.com//Hack-with-Github/Awesome-Hacking
google,material-design-icons,46200,https://github.com//google/material-design-icons
wasabeef,awesome-android-ui,43300,https://github.com//wasabeef/awesome-android-ui
square,okhttp,42600,https://github.com//square/okhttp
Solido,awesome-flutter,41900,https://github.com//Solido/awesome-flutter
android,architecture-samples,41200,https://github.com//android/architecture-samples
square,retrofit,40300,https://github.com//square/retrofit
