username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,94600,https://github.com//justjavac/free-programming-books-zh_CN
angular,angular,82900,https://github.com//angular/angular
storybookjs,storybook,73000,https://github.com//storybookjs/storybook
leonardomso,33-js-concepts,50400,https://github.com//leonardomso/33-js-concepts
ionic-team,ionic-framework,47700,https://github.com//ionic-team/ionic-framework
prettier,prettier,43500,https://github.com//prettier/prettier
SheetJS,sheetjs,30800,https://github.com//SheetJS/sheetjs
angular,angular-cli,25500,https://github.com//angular/angular-cli
angular,components,22800,https://github.com//angular/components
NativeScript,NativeScript,21400,https://github.com//NativeScript/NativeScript
