username,repo_name,stars,repo_url
ansible,ansible,54000,https://github.com//ansible/ansible
bregman-arie,devops-exercises,28000,https://github.com//bregman-arie/devops-exercises
trailofbits,algo,25800,https://github.com//trailofbits/algo
StreisandEffect,streisand,22800,https://github.com//StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,16000,https://github.com//MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12600,https://github.com//kubernetes-sigs/kubespray
ansible,awx,11200,https://github.com//ansible/awx
easzlab,kubeasz,8300,https://github.com//easzlab/kubeasz
geerlingguy,ansible-for-devops,6000,https://github.com//geerlingguy/ansible-for-devops
khuedoan,homelab,5900,https://github.com//khuedoan/homelab
