username,repo_name,stars,repo_url
arendst,Tasmota,18000,https://github.com//arendst/Tasmota
MarlinFirmware,Marlin,13500,https://github.com//MarlinFirmware/Marlin
arduino,Arduino,13000,https://github.com//arduino/Arduino
rwaldron,johnny-five,12700,https://github.com//rwaldron/johnny-five
tinygo-org,tinygo,11200,https://github.com//tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10200,https://github.com//SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9100,https://github.com//espressif/arduino-esp32
hybridgroup,gobot,7800,https://github.com//hybridgroup/gobot
gurugio,lowlevelprogramming-university,7700,https://github.com//gurugio/lowlevelprogramming-university
platformio,platformio-core,6000,https://github.com//platformio/platformio-core
