username,repo_name,stars,repo_url
sindresorhus,awesome,212000,https://github.com//sindresorhus/awesome
vinta,awesome-python,136000,https://github.com//vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,96800,https://github.com//awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,84800,https://github.com//avelino/awesome-go
trimstray,the-book-of-secret-knowledge,73600,https://github.com//trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,63100,https://github.com//papers-we-love/papers-we-love
521xueweihan,HelloGitHub,57700,https://github.com//521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,53800,https://github.com//Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,51600,https://github.com//jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,48200,https://github.com//DopplerHQ/awesome-interview-questions
