username,repo_name,stars,repo_url
bregman-arie,devops-exercises,28000,https://github.com//bregman-arie/devops-exercises
microsoft,recommenders,13700,https://github.com//microsoft/recommenders
pulumi,pulumi,13200,https://github.com//pulumi/pulumi
ramitsurana,awesome-kubernetes,12900,https://github.com//ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12000,https://github.com//Azure/azure-quickstart-templates
mozilla,sops,10300,https://github.com//mozilla/sops
caprover,caprover,8900,https://github.com//caprover/caprover
microsoft,computervision-recipes,8600,https://github.com//microsoft/computervision-recipes
google,go-cloud,8500,https://github.com//google/go-cloud
infracost,infracost,7600,https://github.com//infracost/infracost
