username,repo_name,stars,repo_url
babel,babel,41200,https://github.com//babel/babel
nylas,nylas-mail,24700,https://github.com//nylas/nylas-mail
swc-project,swc,23200,https://github.com//swc-project/swc
kriasoft,react-starter-kit,21300,https://github.com//kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,19900,https://github.com//electron-react-boilerplate/electron-react-boilerplate
avajs,ava,19900,https://github.com//avajs/ava
SimulatedGREG,electron-vue,15000,https://github.com//SimulatedGREG/electron-vue
grab,front-end-guide,14500,https://github.com//grab/front-end-guide
jamiebuilds,babel-handbook,11100,https://github.com//jamiebuilds/babel-handbook
grommet,grommet,8000,https://github.com//grommet/grommet
