username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,108000,https://github.com//jlevy/the-art-of-command-line
nvm-sh,nvm,59700,https://github.com//nvm-sh/nvm
junegunn,fzf,45900,https://github.com//junegunn/fzf
google,zx,33400,https://github.com//google/zx
dylanaraps,pure-bash-bible,31400,https://github.com//dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29700,https://github.com//LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29400,https://github.com//koalaman/shellcheck
mathiasbynens,dotfiles,28000,https://github.com//mathiasbynens/dotfiles
starship,starship,27600,https://github.com//starship/starship
acmesh-official,acme.sh,27500,https://github.com//acmesh-official/acme.sh
