username,repo_name,stars,repo_url
ccxt,ccxt,25200,https://github.com//ccxt/ccxt
discordjs,discord.js,20300,https://github.com//discordjs/discord.js
python-telegram-bot,python-telegram-bot,19300,https://github.com//python-telegram-bot/python-telegram-bot
hubotio,hubot,16200,https://github.com//hubotio/hubot
RasaHQ,rasa,14600,https://github.com//RasaHQ/rasa
InstaPy,InstaPy,14500,https://github.com//InstaPy/InstaPy
wechaty,wechaty,13100,https://github.com//wechaty/wechaty
gunthercox,ChatterBot,12400,https://github.com//gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11600,https://github.com//tgbot-collection/YYeTsBot
Rapptz,discord.py,11100,https://github.com//Rapptz/discord.py
