username,repo_name,stars,repo_url
CyC2018,CS-Notes,155000,https://github.com//CyC2018/CS-Notes
practical-tutorials,project-based-learning,73800,https://github.com//practical-tutorials/project-based-learning
azl397985856,leetcode,48800,https://github.com//azl397985856/leetcode
fffaraz,awesome-cpp,38900,https://github.com//fffaraz/awesome-cpp
x64dbg,x64dbg,38800,https://github.com//x64dbg/x64dbg
youngyangyang04,leetcode-master,29900,https://github.com//youngyangyang04/leetcode-master
microsoft,calculator,25300,https://github.com//microsoft/calculator
huihut,interview,25100,https://github.com//huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24600,https://github.com//CMU-Perceptual-Computing-Lab/openpose
carbon-language,carbon-lang,21800,https://github.com//carbon-language/carbon-lang
