username,repo_name,stars,repo_url
Genymobile,scrcpy,68200,https://github.com//Genymobile/scrcpy
neovim,neovim,56200,https://github.com//neovim/neovim
git,git,43000,https://github.com//git/git
obsproject,obs-studio,39800,https://github.com//obsproject/obs-studio
fffaraz,awesome-cpp,38900,https://github.com//fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31300,https://github.com//serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30800,https://github.com//FFmpeg/FFmpeg
vim,vim,28100,https://github.com//vim/vim
curl,curl,25900,https://github.com//curl/curl
huihut,interview,25100,https://github.com//huihut/interview
