username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29000,https://github.com//CSSEGISandData/COVID-19
covid19india,covid19india-react,6900,https://github.com//covid19india/covid19india-react
nytimes,covid-19-data,6900,https://github.com//nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6400,https://github.com//tokyo-metropolitan-gov/covid19
owid,covid-19-data,5400,https://github.com//owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com//pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2800,https://github.com//ieee8023/covid-chestxray-dataset
disease-sh,API,2400,https://github.com//disease-sh/API
geohot,corona,2200,https://github.com//geohot/corona
WorldHealthOrganization,app,2100,https://github.com//WorldHealthOrganization/app
