username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,27900,https://github.com//iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19400,https://github.com//jaywcjlove/linux-command
refined-github,refined-github,18400,https://github.com//refined-github/refined-github
darkreader,darkreader,14500,https://github.com//darkreader/darkreader
checkly,headless-recorder,14400,https://github.com//checkly/headless-recorder
unbug,codelf,13000,https://github.com//unbug/codelf
Anarios,return-youtube-dislike,9700,https://github.com//Anarios/return-youtube-dislike
crimx,ext-saladict,9400,https://github.com//crimx/ext-saladict
gildas-lormeau,SingleFile,8900,https://github.com//gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8700,https://github.com//listen1/listen1_chrome_extension
