username,repo_name,stars,repo_url
electron,electron,103000,https://github.com//electron/electron
puppeteer,puppeteer,79200,https://github.com//puppeteer/puppeteer
microsoft,playwright,40500,https://github.com//microsoft/playwright
FiloSottile,mkcert,36100,https://github.com//FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,27900,https://github.com//iamadamdev/bypass-paywalls-chrome
ovity,octotree,22100,https://github.com//ovity/octotree
jaywcjlove,linux-command,19400,https://github.com//jaywcjlove/linux-command
segmentio,nightmare,19200,https://github.com//segmentio/nightmare
checkly,headless-recorder,14400,https://github.com//checkly/headless-recorder
google,WebFundamentals,13400,https://github.com//google/WebFundamentals
