username,repo_name,stars,repo_url
metabase,metabase,29300,https://github.com//metabase/metabase
logseq,logseq,15600,https://github.com//logseq/logseq
eclipse,deeplearning4j,12600,https://github.com//eclipse/deeplearning4j
LightTable,LightTable,11700,https://github.com//LightTable/LightTable
penpot,penpot,10700,https://github.com//penpot/penpot
kanaka,mal,8800,https://github.com//kanaka/mal
lk-geimfari,awesomo,8500,https://github.com//lk-geimfari/awesomo
tonsky,datascript,4800,https://github.com//tonsky/datascript
reagent-project,reagent,4500,https://github.com//reagent-project/reagent
riemann,riemann,4100,https://github.com//riemann/riemann
