username,repo_name,stars,repo_url
ovity,octotree,22100,https://github.com//ovity/octotree
gitpod-io,gitpod,8600,https://github.com//gitpod-io/gitpod
reviewdog,reviewdog,5300,https://github.com//reviewdog/reviewdog
danger,danger,4900,https://github.com//danger/danger
danger,danger-js,4500,https://github.com//danger/danger-js
joho,awesome-code-review,3500,https://github.com//joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com//ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://github.com//microsoft/vscode-pull-request-github
mbj,mutant,1900,https://github.com//mbj/mutant
crev-dev,cargo-crev,1700,https://github.com//crev-dev/cargo-crev
