username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,148000,https://github.com//ohmyzsh/ohmyzsh
junegunn,fzf,45900,https://github.com//junegunn/fzf
sharkdp,bat,36000,https://github.com//sharkdp/bat
sherlock-project,sherlock,34300,https://github.com//sherlock-project/sherlock
google,zx,33400,https://github.com//google/zx
wagoodman,dive,32900,https://github.com//wagoodman/dive
BurntSushi,ripgrep,32299,https://github.com//BurntSushi/ripgrep
chubin,cheat.sh,29900,https://github.com//chubin/cheat.sh
cli,cli,29300,https://github.com//cli/cli
jesseduffield,lazygit,28700,https://github.com//jesseduffield/lazygit
