username,repo_name,stars,repo_url
vercel,next.js,90300,https://github.com//vercel/next.js
rust-lang,rust,69600,https://github.com//rust-lang/rust
webpack,webpack,61500,https://github.com//webpack/webpack
sveltejs,svelte,61000,https://github.com//sveltejs/svelte
gatsbyjs,gatsby,53300,https://github.com//gatsbyjs/gatsby
JetBrains,kotlin,42200,https://github.com//JetBrains/kotlin
babel,babel,41200,https://github.com//babel/babel
parcel-bundler,parcel,41100,https://github.com//parcel-bundler/parcel
evanw,esbuild,32600,https://github.com//evanw/esbuild
vlang,v,30000,https://github.com//vlang/v
